category,fold,algorithm,accuracy,balanced_accuracy,f1_macro,mcc,fit_time_s,support
LV_FUNCTION,1,Random Forest,0.9298245614035088,0.5833333333333334,0.5745415318230852,0.6141758209856337,0.1078773750050459,57
LV_FUNCTION,1,Gradient Boosting,0.9649122807017544,0.75,0.75,0.8184713375796179,0.5081675419933163,57
LV_FUNCTION,1,Decision Tree,0.9824561403508771,0.9166666666666666,0.8857142857142857,0.9109709445829934,0.0010839579917956144,57
LV_FUNCTION,1,SVM (RBF),0.8771929824561403,0.40359477124183013,0.39750641730839753,0.4104526008927436,0.005988874996546656,57
LV_FUNCTION,1,Logistic Regression,0.8947368421052632,0.5702614379084968,0.5211111111111111,0.5364216814291077,2.481378541007871,57
LV_FUNCTION,1,K-Nearest Neighbors,0.8771929824561403,0.40359477124183013,0.39750641730839753,0.4104526008927436,0.0025843750045169145,57
LV_FUNCTION,2,Random Forest,0.9824561403508771,0.8888888888888888,0.93003300330033,0.9194806296032043,0.06249775001197122,57
LV_FUNCTION,2,Gradient Boosting,1.0,1.0,1.0,1.0,0.1183499579783529,57
LV_FUNCTION,2,Decision Tree,1.0,1.0,1.0,1.0,0.0010064170055557042,57
LV_FUNCTION,2,SVM (RBF),0.9298245614035088,0.7644444444444444,0.7323232323232324,0.7104328439327527,0.002351417002500966,57
LV_FUNCTION,2,Logistic Regression,0.9122807017543859,0.681111111111111,0.6717171717171717,0.6354427104065178,1.0505612090055365,57
LV_FUNCTION,2,K-Nearest Neighbors,0.9122807017543859,0.8622222222222221,0.773294059891998,0.683408038817603,0.0004926249966956675,57
LV_FUNCTION,3,Random Forest,0.9649122807017544,0.8055555555555555,0.8055555555555555,0.8425414364640884,0.07604433398228139,57
LV_FUNCTION,3,Gradient Boosting,1.0,1.0,1.0,1.0,0.1063495830167085,57
LV_FUNCTION,3,Decision Tree,1.0,1.0,1.0,1.0,0.00091758300550282,57
LV_FUNCTION,3,SVM (RBF),0.8596491228070176,0.6888888888888888,0.617376775271512,0.5483000055712342,0.0018136250146199018,57
LV_FUNCTION,3,Logistic Regression,0.8421052631578947,0.5288888888888889,0.46759259259259256,0.4517689683805452,0.8837996670044959,57
LV_FUNCTION,3,K-Nearest Neighbors,0.8596491228070176,0.6611111111111111,0.5919799498746867,0.5519224938580772,0.0005266670195851475,57
LV_FUNCTION,4,Random Forest,0.9821428571428571,0.8888888888888888,0.93003300330033,0.9067294884704111,0.07667987499735318,56
LV_FUNCTION,4,Gradient Boosting,0.9821428571428571,0.8888888888888888,0.93003300330033,0.9067294884704111,0.10804154200013727,56
LV_FUNCTION,4,Decision Tree,0.9821428571428571,0.8888888888888888,0.93003300330033,0.9067294884704111,0.0008865419949870557,56
LV_FUNCTION,4,SVM (RBF),0.9285714285714286,0.7644444444444444,0.7565656565656566,0.667639466451234,0.0020259580051060766,56
LV_FUNCTION,4,Logistic Regression,0.9285714285714286,0.7644444444444444,0.7565656565656566,0.667639466451234,1.2597945839806926,56
LV_FUNCTION,4,K-Nearest Neighbors,0.8928571428571429,0.5422222222222222,0.5422222222222222,0.4563106796116505,0.00080245899152942,56
LV_FUNCTION,5,Random Forest,1.0,1.0,1.0,1.0,0.06321525000385009,56
LV_FUNCTION,5,Gradient Boosting,1.0,1.0,1.0,1.0,0.11435337498551235,56
LV_FUNCTION,5,Decision Tree,1.0,1.0,1.0,1.0,0.0009514589910395443,56
LV_FUNCTION,5,SVM (RBF),0.9285714285714286,0.66,0.66,0.6363636363636364,0.002802417002385482,56
LV_FUNCTION,5,Logistic Regression,0.9464285714285714,0.7433333333333333,0.7188552188552189,0.7490904188496715,0.025724915991304442,56
LV_FUNCTION,5,K-Nearest Neighbors,0.8571428571428571,0.5566666666666666,0.5462585034013605,0.3722377385696935,0.0004866250092163682,56
LV_FUNCTION,6,Random Forest,0.9824561403508771,0.9166666666666666,0.8857142857142857,0.9109709445829934,0.07393170800060034,57
LV_FUNCTION,6,Gradient Boosting,1.0,1.0,1.0,1.0,0.11149362497963011,57
LV_FUNCTION,6,Decision Tree,1.0,1.0,1.0,1.0,0.0008904160058591515,57
LV_FUNCTION,6,SVM (RBF),0.9122807017543859,0.5702614379084968,0.5084848484848484,0.614480335765108,0.0018017500115092844,57
LV_FUNCTION,6,Logistic Regression,0.9122807017543859,0.7303921568627452,0.6717171717171717,0.6466705937464832,0.025737208023201674,57
LV_FUNCTION,6,K-Nearest Neighbors,0.8771929824561403,0.55718954248366,0.47357404500261646,0.5350390992807273,0.0004579579981509596,57
LV_FUNCTION,7,Random Forest,0.9824561403508771,0.8888888888888888,0.93003300330033,0.9194806296032043,0.062200916989240795,57
LV_FUNCTION,7,Gradient Boosting,1.0,1.0,1.0,1.0,0.11130875002709217,57
LV_FUNCTION,7,Decision Tree,1.0,1.0,1.0,1.0,0.0009106660145334899,57
LV_FUNCTION,7,SVM (RBF),0.8771929824561403,0.5633333333333334,0.48316498316498313,0.48845043896242357,0.0020078330126125365,57
LV_FUNCTION,7,Logistic Regression,0.9473684210526315,0.7711111111111112,0.7390572390572391,0.7854229774589878,0.9006573329970706,57
LV_FUNCTION,7,K-Nearest Neighbors,0.8947368421052632,0.7788888888888889,0.7494845360824742,0.6186783837346441,0.0004946250119246542,57
LV_FUNCTION,8,Random Forest,0.9824561403508771,0.9166666666666666,0.9047619047619048,0.9226519337016574,0.07511162498849444,57
LV_FUNCTION,8,Gradient Boosting,0.9824561403508771,0.9166666666666666,0.9047619047619048,0.9226519337016574,0.1067269170016516,57
LV_FUNCTION,8,Decision Tree,0.9824561403508771,0.9166666666666666,0.9047619047619048,0.9226519337016574,0.0008630839874967933,57
LV_FUNCTION,8,SVM (RBF),0.8771929824561403,0.5633333333333334,0.47357404500261646,0.5234487737921738,0.001925334014231339,57
LV_FUNCTION,8,Logistic Regression,0.9298245614035088,0.82,0.7756132756132756,0.7064565679169111,0.9024988330202177,57
LV_FUNCTION,8,K-Nearest Neighbors,0.8596491228070176,0.48,0.4276094276094276,0.41279371336226556,0.000477791007142514,57
LV_FUNCTION,9,Random Forest,0.9642857142857143,0.7777777777777777,0.818921892189219,0.8081336605979005,0.07529058400541544,56
LV_FUNCTION,9,Gradient Boosting,0.9642857142857143,0.7777777777777777,0.818921892189219,0.8081336605979005,0.10595720799756236,56
LV_FUNCTION,9,Decision Tree,0.9642857142857143,0.7777777777777777,0.818921892189219,0.8081336605979005,0.0008894169877748936,56
LV_FUNCTION,9,SVM (RBF),0.9285714285714286,0.7644444444444444,0.7565656565656566,0.667639466451234,0.0019044580112677068,56
LV_FUNCTION,9,Logistic Regression,0.9642857142857143,0.8822222222222221,0.8822222222222221,0.8187702265372169,0.013205374998506159,56
LV_FUNCTION,9,K-Nearest Neighbors,0.8571428571428571,0.6333333333333333,0.5670454545454545,0.46673494141134597,0.000434000015957281,56
LV_FUNCTION,10,Random Forest,0.9821428571428571,0.9166666666666666,0.9490806223479491,0.9064367634371219,0.07424479100154713,56
LV_FUNCTION,10,Gradient Boosting,1.0,1.0,1.0,1.0,0.10658474999945611,56
LV_FUNCTION,10,Decision Tree,1.0,1.0,1.0,1.0,0.0009628330008126795,56
LV_FUNCTION,10,SVM (RBF),0.9107142857142857,0.8133333333333334,0.7345427059712774,0.6133052097272765,0.0019187500001862645,56
LV_FUNCTION,10,Logistic Regression,0.9107142857142857,0.8133333333333334,0.7345427059712774,0.6133052097272765,0.013162832998204976,56
LV_FUNCTION,10,K-Nearest Neighbors,0.875,0.7999999999999999,0.6511243386243386,0.5355797126462184,0.00042475000373087823,56
LV_FUNCTION,11,Random Forest,0.9824561403508771,0.9166666666666666,0.8857142857142857,0.9109709445829934,0.07350729199242778,57
LV_FUNCTION,11,Gradient Boosting,1.0,1.0,1.0,1.0,0.10691566701279953,57
LV_FUNCTION,11,Decision Tree,1.0,1.0,1.0,1.0,0.0008646249771118164,57
LV_FUNCTION,11,SVM (RBF),0.9122807017543859,0.8137254901960785,0.6936026936026937,0.64767298837481,0.0018709579890128225,57
LV_FUNCTION,11,Logistic Regression,0.8947368421052632,0.80718954248366,0.6752834467120182,0.6068335763204816,0.9404304170166142,57
LV_FUNCTION,11,K-Nearest Neighbors,0.8771929824561403,0.6405228758169934,0.5641723356009071,0.5344705766337297,0.0019135829934384674,57
LV_FUNCTION,12,Random Forest,0.9649122807017544,0.7777777777777777,0.7666666666666666,0.8468262256232106,0.07639854200533591,57
LV_FUNCTION,12,Gradient Boosting,1.0,1.0,1.0,1.0,0.10653225000714883,57
LV_FUNCTION,12,Decision Tree,1.0,1.0,1.0,1.0,0.0008600839937571436,57
LV_FUNCTION,12,SVM (RBF),0.8947368421052632,0.57,0.4931972789115646,0.5913319971800955,0.0017368750122841448,57
LV_FUNCTION,12,Logistic Regression,0.9298245614035088,0.8688888888888888,0.8119129438717069,0.7545730576185544,0.013218833017162979,57
