category,plot,status
LV_FUNCTION,shap_global_bar,ok
LV_FUNCTION,shap_waterfall,ok
LV_FUNCTION,shap_dependence,ok
LV_FUNCTION,pdp_ice,ok
LV_FUNCTION,oat_sensitivity,ok
LV_FUNCTION,monte_carlo,ok
LV_FUNCTION,global_sensitivity,ok
LV_FUNCTION,interaction_heatmap,ok
LV_SIZE,shap_global_bar,ok
LV_SIZE,shap_waterfall,ok
LV_SIZE,shap_dependence,ok
LV_SIZE,pdp_ice,ok
LV_SIZE,oat_sensitivity,ok
LV_SIZE,monte_carlo,ok
LV_SIZE,global_sensitivity,ok
LV_SIZE,interaction_heatmap,ok
LV_HYPERTROPHY,shap_global_bar,ok
LV_HYPERTROPHY,shap_waterfall,ok
LV_HYPERTROPHY,shap_dependence,ok
LV_HYPERTROPHY,pdp_ice,ok
LV_HYPERTROPHY,oat_sensitivity,ok
LV_HYPERTROPHY,monte_carlo,ok
LV_HYPERTROPHY,global_sensitivity,ok
LV_HYPERTROPHY,interaction_heatmap,ok
LA_SIZE,shap_global_bar,ok
LA_SIZE,shap_waterfall,ok
LA_SIZE,shap_dependence,ok
LA_SIZE,pdp_ice,ok
LA_SIZE,oat_sensitivity,ok
LA_SIZE,monte_carlo,ok
LA_SIZE,global_sensitivity,ok
LA_SIZE,interaction_heatmap,ok
DIASTOLIC_FUNCTION,shap_global_bar,ok
DIASTOLIC_FUNCTION,shap_waterfall,ok
DIASTOLIC_FUNCTION,shap_dependence,ok
DIASTOLIC_FUNCTION,pdp_ice,ok
DIASTOLIC_FUNCTION,oat_sensitivity,ok
DIASTOLIC_FUNCTION,monte_carlo,ok
DIASTOLIC_FUNCTION,global_sensitivity,ok
DIASTOLIC_FUNCTION,interaction_heatmap,ok
