check,value
index_overlap,0.0
exact_feature_row_overlap,0.0
shuffled_label_accuracy:LV_FUNCTION,0.765625
shuffled_label_balanced_accuracy:LV_FUNCTION,0.32666666666666666
majority_class_accuracy:LV_FUNCTION,0.78125
shuffled_label_accuracy:LV_SIZE,0.4745762711864407
shuffled_label_balanced_accuracy:LV_SIZE,0.3165482954545455
majority_class_accuracy:LV_SIZE,0.5423728813559322
shuffled_label_accuracy:LV_HYPERTROPHY,0.5789473684210527
shuffled_label_balanced_accuracy:LV_HYPERTROPHY,0.337251356238698
majority_class_accuracy:LV_HYPERTROPHY,0.6929824561403509
shuffled_label_accuracy:LA_SIZE,0.584070796460177
shuffled_label_balanced_accuracy:LA_SIZE,0.582124842370744
majority_class_accuracy:LA_SIZE,0.5398230088495575
shuffled_label_accuracy:DIASTOLIC_FUNCTION,0.47244094488188976
shuffled_label_balanced_accuracy:DIASTOLIC_FUNCTION,0.46820665673124695
majority_class_accuracy:DIASTOLIC_FUNCTION,0.5196850393700787
